name,road,district,province
Investigation Center Provincial Police Region 1,Wiphawadi-Rangsit Rd,Chatuchak,Bangkok
Thung Khru Police Station,"Soi 93, Prachautit Rd",Thung Khru,Bangkok
Suwinthawong Police,Suwintawong Rd,Nong Chok,Bangkok
Watprayakrai Police Station,Charoen Krung Rd,Bang Kho Laem,Bangkok
Bangbon Police Station,Ekachai Rd,Bang Bon,Bangkok
Bangpongpang Police Station,Suan Phlu Rd,Sathon,Bangkok
Thammasala Police Station,,Thawi Watthana,Bangkok
Lampakchee Police Station,Suwintawong Rd,Nong Chok,Bangkok
Bangkok Noi Police Station,"Soi 30/1, Charansanitwong Rd",Bangkok Noi,Bangkok
Bangsaothong Police Station,Soi 13,Phasi Charoen,Bangkok
Bangkhen Police Station,,Bang Khen,Bangkok
Nangleong Police Station,Ka Om Rd,Pom Prap Sattru Phai,Bangkok
Dusit Police Station,Rama 5 Rd,Dusit,Bangkok
Taopoon Police Station,Bangkok-Nonthaburi Rd,Bang Sue,Bangkok
Bang Kholaem Police Station,"Soi 17, Rat Burana Rd",Rat Burana,Bangkok
Samranrat Police Station,Bamrung Muang Rd,Phra Nakhon,Bangkok
Plabplachai 2 Police Station,Phlapphlachai Rd,Pom Prap Sattru Phai,Bangkok
Prawate Police Station,Chaloem Phrakiat Rama 9 Rd,Prawet,Bangkok
Bang Yi Ruea Police Station,Thoetthai Rd,Thon Buri,Bangkok
Nimit Mai Police Station,Maitrichit Rd,Khlong Sam Wa,Bangkok
Thungsonghong Police Station,Kamphaeng Phet 6 Rd,Lak Si,Bangkok
Talad Phlu Police Station,Wuthakat Rd,Thon Buri,Bangkok
Chakkrawat Police Station,Chakkrawat Rd,Samphanthawong,Bangkok
Consumer Protection Police Division,Phahonyothin Rd,Chatuchak,Bangkok
Chalong Krung Police Station,Liap Khlong Lam Ko Phai Rd,Lat Krabang,Bangkok
Phachasumran Police Station,Phacha Samrn Rd,Nong Chok,Bangkok
Bungkum Police Station,Serithai Rd,Bueng Kum,Bangkok
Bangkhunnon Police Station,Bang Khun Non Rd,Bangkok Noi,Bangkok
Nongkhaem Police Station,,Nong Khaem,Bangkok
